participant,ASQ_1,ASQ_2,ASQ_3
pp1,7,7,7
pp2,8,8,6
pp3,4,7,6
pp4,7,9,5
pp5,6,6,7
pp6,8,9,9
pp7,7,9,7
pp8,5,7,7
pp9,5,5,5
pp10,3,5,3
pp11,3,4,6
pp12,9,9,8
pp13,5,5,6
pp14,9,8,9
pp15,3,2,4
pp16,5,6,6
pp17,9,7,5
pp18,6,7,6
pp19,6,6,5
pp20,7,7,6
pp21,8,8,7
pp22,8,7,4
pp23,9,8,9
pp24,6,6,8
pp25,8,8,7
pp26,8,7,7
pp27,7,7,8
