participant,Interactivity_1,Interactivity_2,Interactivity_3
pp1,8,8,8
pp2,6,7,7
pp3,9,9,9
pp4,6,5,8
pp5,7,7,8
pp6,9,8,9
pp7,9,9,6
pp8,8,8,9
pp9,5,4,7
pp10,7,6,6
pp11,8,8,9
pp12,8,7,9
pp13,7,7,7
pp14,7,7,6
pp15,8,7,7
pp16,6,7,7
pp17,7,9,9
pp18,6,7,8
pp19,7,8,7
pp20,8,8,7
pp21,8,7,9
pp22,9,9,9
pp23,7,7,9
pp24,7,8,8
pp25,7,9,9
pp26,8,6,8
pp27,7,6,6
