participant,presence_1,presence_2,presence_3,presence_4
pp1,8,8,6,7
pp2,7,7,5,5
pp3,9,8,6,8
pp4,5,5,2,6
pp5,7,6,4,5
pp6,5,6,6,4
pp7,6,6,2,2
pp8,7,6,3,7
pp9,8,8,6,7
pp10,6,3,2,4
pp11,9,9,8,7
pp12,4,7,2,5
pp13,5,4,1,6
pp14,9,9,9,9
pp15,7,6,2,5
pp16,7,7,6,6
pp17,6,7,3,3
pp18,7,7,6,7
pp19,7,7,3,6
pp20,7,8,7,7
pp21,7,8,8,8
pp22,7,7,7,9
pp23,7,7,4,5
pp24,8,8,2,7
pp25,8,9,8,9
pp26,9,8,8,8
pp27,8,6,5,5
