participant,MARS_1,MARS_2,MARS_3,MARS_4
pp1,7,8,4,6
pp2,7,4,4,8
pp3,7,7,8,3
pp4,5,3,6,5
pp5,7,6,8,7
pp6,7,6,7,8
pp7,6,6,9,9
pp8,3,7,5,7
pp9,5,3,5,3
pp10,7,3,6,5
pp11,7,5,8,7
pp12,8,4,3,8
pp13,5,5,5,5
pp14,9,9,9,7
pp15,6,5,6,4
pp16,5,5,4,4
pp17,8,9,9,9
pp18,6,7,8,6
pp19,8,6,7,5
pp20,6,5,6,6
pp21,8,7,9,5
pp22,5,8,7,8
pp23,7,9,9,9
pp24,5,5,9,5
pp25,9,7,5,5
pp26,7,8,8,8
pp27,6,7,7,7
