participant,realism_1,realism_2,realism_3
pp1,7,7,8
pp2,7,5,6
pp3,3,2,9
pp4,5,6,8
pp5,5,4,7
pp6,6,4,6
pp7,5,5,1
pp8,2,3,3
pp9,7,5,7
pp10,5,3,7
pp11,8,6,9
pp12,2,2,6
pp13,2,5,7
pp14,9,9,9
pp15,1,4,4
pp16,7,4,5
pp17,3,5,6
pp18,6,7,6
pp19,5,5,7
pp20,4,5,4
pp21,7,5,6
pp22,4,4,8
pp23,3,3,5
pp24,7,8,9
pp25,8,7,9
pp26,8,7,8
pp27,6,6,8
