participant,ASQ_1,ASQ_2,ASQ_3
pp1,7,8,8
pp2,7,8,5
pp3,9,9,5
pp4,6,8,4
pp5,7,8,7
pp6,7,9,6
pp7,9,9,6
pp8,6,7,6
pp9,3,4,4
pp10,6,7,4
pp11,8,9,6
pp12,8,8,7
pp13,5,4,6
pp14,9,9,9
pp15,7,8,7
pp16,5,5,5
pp17,9,9,9
pp18,6,6,7
pp19,5,6,7
pp20,6,6,6
pp21,8,7,8
pp22,8,8,8
pp23,8,8,8
pp24,8,9,9
pp25,7,7,9
pp26,8,7,7
pp27,8,8,8
