participant,realism_1,realism_2,realism_3
pp1,5,6,5
pp2,3,3,3
pp3,1,3,1
pp4,9,9,9
pp5,3,3,3
pp6,8,8,9
pp7,6,6,0
pp8,4,7,2
pp9,0,0,0
pp10,5,2,6
pp11,2,1,3
pp12,7,7,8
pp13,3,3,3
pp14,7,6,7
pp15,0,0,0
pp16,2,2,2
pp17,2,2,4
pp18,2,4,5
pp19,2,3,4
pp20,1,2,1
pp21,2,1,6
pp22,6,6,2
pp23,1,1,3
pp24,2,3,4
pp25,6,6,8
pp26,3,5,5
pp27,2,2,6
