participant,Mars_1,Mars_2,Mars_3,Mars_4
pp1,7,7,7,7
pp2,6,4,7,6
pp3,7,7,8,7
pp4,7,5,2,7
pp5,4,6,3,2
pp6,9,7,5,4
pp7,9,7,9,9
pp8,9,9,8,7
pp9,2,0,0,1
pp10,4,2,2,2
pp11,2,1,4,2
pp12,8,6,7,7
pp13,3,6,5,5
pp14,7,7,9,7
pp15,8,3,8,7
pp16,3,8,4,3
pp17,2,7,7,4
pp18,4,8,9,9
pp19,8,6,3,5
pp20,5,4,5,7
pp21,7,8,6,7
pp22,5,3,7,4
pp23,2,9,9,9
pp24,4,6,8,9
pp25,8,7,8,7
pp26,4,7,8,8
pp27,5,7,6,5
