participant,presence_1,presence_2,presence_3,presence_4
pp1,5,6,5,5
pp2,3,5,2,0
pp3,3,2,1,0
pp4,3,7,9,9
pp5,2,3,2,2
pp6,9,9,9,1
pp7,9,9,9,6
pp8,1,4,2,1
pp9,1,2,0,0
pp10,1,5,1,1
pp11,1,1,0,0
pp12,9,9,7,9
pp13,4,4,1,5
pp14,7,8,9,7
pp15,1,1,1,0
pp16,5,5,3,4
pp17,3,5,3,1
pp18,2,2,3,2
pp19,6,6,3,4
pp20,6,6,1,1
pp21,7,8,7,7
pp22,7,9,4,9
pp23,2,3,0,1
pp24,2,4,5,9
pp25,7,8,8,7
pp26,3,4,3,5
pp27,2,1,1,2
