participant,interactivity_1,interactivity_2,interactivity_3
pp1,5,5,6
pp2,4,7,7
pp3,2,2,4
pp4,7,7,9
pp5,4,4,3
pp6,8,9,6
pp7,7,2,3
pp8,6,3,5
pp9,0,0,0
pp10,5,4,4
pp11,2,1,0
pp12,9,8,8
pp13,3,1,1
pp14,7,9,6
pp15,4,3,3
pp16,3,1,4
pp17,2,4,5
pp18,7,6,9
pp19,7,6,8
pp20,6,5,5
pp21,9,8,8
pp22,7,2,9
pp23,5,1,3
pp24,6,1,6
pp25,7,6,7
pp26,6,4,7
pp27,4,2,1
